neighborhood,postal_code,declared_transaction_value,reference_property_value,reference_value_proportional,tax_base_value,transaction_date,transaction_type,built_area_sqm,property_use_description,transferred_share_percentage,source,bucket_start
VL CAMPANELA,8220640.0,261875.0,178304.0,21931.392,261875.0,2025-08-01 00:00:00,1.Compra e venda,72,RESIDÊNCIA,12.3,AGO-2025,0
VILA MAZZEI,2312010.0,430000.0,390816.0,390816.0,430000.0,2025-08-07 00:00:00,1.Compra e venda,100,RESIDÊNCIA,100.0,AGO-2025,100
,8220000.0,376000.0,375710.0,375710.0,376000.0,2025-08-07 00:00:00,1.Compra e venda,132,RESIDÊNCIA,100.0,AGO-2025,100
,4125200.0,318000.0,762197.0,76.2197,318000.0,2025-08-01 00:00:00,1.Compra e venda,232,RESIDÊNCIA,0.01,AGO-2025,200
QD 71 VL CURUCA,8030550.0,370000.0,171034.0,171034.0,370000.0,2025-08-08 00:00:00,1.Compra e venda,71,RESIDÊNCIA,100.0,AGO-2025,0
,2312060.0,280000.0,268384.0,268384.0,280000.0,2025-08-14 00:00:00,1.Compra e venda,55,RESIDÊNCIA,100.0,AGO-2025,0
FREGUESIA DO O,2807040.0,264000.0,202410.0,20.241,264000.0,2025-08-06 00:00:00,1.Compra e venda,97,RESIDÊNCIA,0.01,AGO-2025,0
,3145040.0,300000.0,472092.0,120383.46,300000.0,2025-08-09 00:00:00,1.Compra e venda,130,RESIDÊNCIA,25.5,AGO-2025,100
,2250010.0,370000.0,506455.0,506455.0,506455.0,2025-08-07 00:00:00,1.Compra e venda,124,RESIDÊNCIA,100.0,AGO-2025,100
SAO JOAO CLIMACO,4240000.0,450000.0,219590.0,219590.0,450000.0,2025-08-05 00:00:00,1.Compra e venda,101,RESIDÊNCIA,100.0,AGO-2025,100
,3576080.0,137500.0,341355.0,85338.75,137500.0,2025-08-14 00:00:00,1.Compra e venda,137,RESIDÊNCIA,25.0,AGO-2025,100
,2927130.0,380000.0,140144.0,140144.0,380000.0,2025-08-07 00:00:00,1.Compra e venda,130,RESIDÊNCIA,100.0,AGO-2025,100
,3281001.0,237518.01,5886845.0,11185.0055,237518.01,2025-08-04 00:00:00,1.Compra e venda,140,RESIDÊNCIA,0.19,AGO-2025,100
JARDIM MODELO,2262010.0,300000.0,205584.0,205584.0,300000.0,2025-08-01 00:00:00,1.Compra e venda,70,RESIDÊNCIA,100.0,AGO-2025,0
,3281001.0,285452.09,5886845.0,14717.1125,285452.09,2025-08-06 00:00:00,1.Compra e venda,140,RESIDÊNCIA,0.25,AGO-2025,100
CASA VERDE,2560160.0,5000.0,81513.0,81513.0,81513.0,2025-08-07 00:00:00,1.Compra e venda,25,RESIDÊNCIA,100.0,AGO-2025,0
,4870050.0,750000.0,276954.0,276954.0,750000.0,2025-08-07 00:00:00,1.Compra e venda,122,RESIDÊNCIA,100.0,AGO-2025,100
,3379080.0,530000.0,421193.0,421193.0,530000.0,2025-08-07 00:00:00,1.Compra e venda,105,RESIDÊNCIA,100.0,AGO-2025,100
JD POPULAR,3670030.0,188000.0,562807.0,65116.7699,188000.0,2025-08-08 00:00:00,1.Compra e venda,94,RESIDÊNCIA,11.57,AGO-2025,0
ACLIMACAO,1530000.0,550000.0,503539.0,503539.0,550000.0,2025-08-07 00:00:00,1.Compra e venda,140,RESIDÊNCIA,100.0,AGO-2025,100
,2347050.0,532000.0,589531.0,589531.0,589531.0,2025-08-07 00:00:00,1.Compra e venda,194,RESIDÊNCIA,100.0,AGO-2025,100
,4408000.0,400000.0,656076.0,656076.0,656076.0,2025-08-07 00:00:00,1.Compra e venda,60,RESIDÊNCIA,100.0,AGO-2025,0
,8090530.0,369600.0,211686.0,211686.0,369600.0,2025-08-07 00:00:00,1.Compra e venda,83,RESIDÊNCIA,100.0,AGO-2025,0
JD RODOLFO PIRANI,8310250.0,260000.0,297675.0,297675.0,297675.0,2025-08-08 00:00:00,1.Compra e venda,111,RESIDÊNCIA,100.0,AGO-2025,100
JD CAMPO DE FORA,5848050.0,75000.0,148152.0,148152.0,148152.0,2025-08-08 00:00:00,1.Compra e venda,80,RESIDÊNCIA,100.0,AGO-2025,0
SAO MIGUEL PAULISTA,8051520.0,325000.0,175071.0,175071.0,325000.0,2025-08-14 00:00:00,1.Compra e venda,85,RESIDÊNCIA,100.0,AGO-2025,0
,5788320.0,383000.0,185079.0,185079.0,383000.0,2025-07-29 00:00:00,1.Compra e venda,92,RESIDÊNCIA,100.0,AGO-2025,0
,5777100.0,315000.0,248801.0,248801.0,315000.0,2025-08-07 00:00:00,1.Compra e venda,70,RESIDÊNCIA,100.0,AGO-2025,0
,3281001.0,329681.54,5886845.0,14717.1125,329681.54,2025-08-05 00:00:00,1.Compra e venda,140,RESIDÊNCIA,0.25,AGO-2025,100
VL MIRTES,5777140.0,1979000.0,525761.0,525761.0,1979000.0,2025-08-08 00:00:00,1.Compra e venda,146,RESIDÊNCIA,100.0,AGO-2025,100
,4040002.0,336032.43,2860724.0,9154.3168,336032.43,2025-08-14 00:00:00,1.Compra e venda,244,RESIDÊNCIA,0.32,AGO-2025,200
JARDIM  SANTA MONICA,5171000.0,375000.0,290441.0,290441.0,375000.0,2025-08-04 00:00:00,1.Compra e venda,65,RESIDÊNCIA,100.0,AGO-2025,0
,5206020.0,750000.0,291224.0,291224.0,750000.0,2025-08-11 00:00:00,1.Compra e venda,206,RESIDÊNCIA,100.0,AGO-2025,200
JD SAPOPEMBA,3976020.0,264000.0,757987.0,75.7987,264000.0,2025-05-12 00:00:00,1.Compra e venda,96,RESIDÊNCIA,0.01,AGO-2025,0
IPIRANGA,4286130.0,63999.0,398626.0,398626.0,398626.0,2025-08-07 00:00:00,1.Compra e venda,123,RESIDÊNCIA,100.0,AGO-2025,100
JD SAPOPEMBA,3976020.0,264000.0,757987.0,75.7987,264000.0,2025-05-09 00:00:00,1.Compra e venda,96,RESIDÊNCIA,0.01,AGO-2025,0
JD SAPOPEMBA,3976020.0,264000.0,757987.0,75.7987,264000.0,2025-05-13 00:00:00,1.Compra e venda,96,RESIDÊNCIA,0.01,AGO-2025,0
SAUDE,4165030.0,590000.0,358262.0,358262.0,590000.0,2025-08-05 00:00:00,1.Compra e venda,99,RESIDÊNCIA,100.0,AGO-2025,0
JD NOVA AMERICA,8280660.0,280800.0,556364.0,556364.0,556364.0,2025-08-07 00:00:00,1.Compra e venda,255,RESIDÊNCIA,100.0,AGO-2025,200
13,2333030.0,220000.0,439966.0,219983.0,220000.0,2025-08-07 00:00:00,1.Compra e venda,125,RESIDÊNCIA,50.0,AGO-2025,100
VL SAO JOSE,8412140.0,250000.0,259021.0,259021.0,259021.0,2025-08-08 00:00:00,1.Compra e venda,109,RESIDÊNCIA,100.0,AGO-2025,100
SOCORRO,4763080.0,650000.0,401941.0,401941.0,650000.0,2025-08-07 00:00:00,1.Compra e venda,110,RESIDÊNCIA,100.0,AGO-2025,100
CANGAIBA,3716120.0,350000.0,177152.0,177152.0,350000.0,2025-08-08 00:00:00,1.Compra e venda,52,RESIDÊNCIA,100.0,AGO-2025,0
CIDADE MONCOES,4563062.0,740000.0,618239.0,618239.0,740000.0,2025-08-12 00:00:00,1.Compra e venda,101,RESIDÊNCIA,100.0,AGO-2025,100
,8295510.0,363628.0,363628.0,363628.0,363628.0,2025-08-12 00:00:00,1.Compra e venda,127,RESIDÊNCIA,100.0,AGO-2025,100
PRQ BOTURUSSU,3804040.0,400000.0,427538.0,427538.0,427538.0,2025-08-14 00:00:00,1.Compra e venda,149,RESIDÊNCIA,100.0,AGO-2025,100
,3513000.0,770000.0,777877.0,777877.0,777877.0,2025-08-14 00:00:00,1.Compra e venda,122,RESIDÊNCIA,100.0,AGO-2025,100
,3151050.0,33293.33,132599.0,24305.3967,33293.33,2025-08-07 00:00:00,1.Compra e venda,58,RESIDÊNCIA,18.33,AGO-2025,0
PIRITUBA,5159200.0,365000.0,575977.0,575977.0,575977.0,2025-08-07 00:00:00,1.Compra e venda,174,RESIDÊNCIA,100.0,AGO-2025,100
,3471070.0,410000.0,517930.0,517930.0,517930.0,2025-08-08 00:00:00,1.Compra e venda,160,RESIDÊNCIA,100.0,AGO-2025,100
,5743150.0,244000.0,666722.0,2200.1826,244000.0,2025-08-06 00:00:00,1.Compra e venda,53,RESIDÊNCIA,0.33,AGO-2025,0
,2075050.0,320000.0,345922.0,345922.0,345922.0,2025-08-08 00:00:00,1.Compra e venda,70,RESIDÊNCIA,100.0,AGO-2025,0
,3152040.0,119027.0,640092.0,128018.4,128018.4,2025-08-07 00:00:00,1.Compra e venda,120,RESIDÊNCIA,20.0,AGO-2025,100
,4827010.0,695000.0,721944.0,721944.0,721944.0,2025-08-06 00:00:00,1.Compra e venda,172,RESIDÊNCIA,100.0,AGO-2025,100
SITIO BARRO BRANCO,2345060.0,1065000.0,0.0,0.0,1065000.0,2025-07-29 00:00:00,1.Compra e venda,568,RESIDÊNCIA,100.0,AGO-2025,500
,3281001.0,272263.54,5886845.0,11185.0055,272263.54,2025-07-30 00:00:00,1.Compra e venda,140,RESIDÊNCIA,0.19,AGO-2025,100
,2081100.0,2900.51,0.0,0.0,0.0,2025-07-22 00:00:00,1.Compra e venda,98,RESIDÊNCIA,100.0,AGO-2025,0
,2256000.0,220000.0,87716.0,87716.0,220000.0,2025-08-07 00:00:00,1.Compra e venda,40,RESIDÊNCIA,100.0,AGO-2025,0
,4361070.0,410000.0,470427.0,470427.0,470427.0,2025-07-21 00:00:00,1.Compra e venda,111,RESIDÊNCIA,100.0,AGO-2025,100
,5103000.0,490000.0,692203.0,692203.0,692203.0,2025-08-07 00:00:00,1.Compra e venda,170,RESIDÊNCIA,100.0,AGO-2025,100
VILA CLEMENTINO,4023040.0,800000.0,719507.0,719507.0,800000.0,2025-08-08 00:00:00,1.Compra e venda,123,RESIDÊNCIA,100.0,AGO-2025,100
,3807050.0,550000.0,278991.0,278991.0,550000.0,2025-08-06 00:00:00,1.Compra e venda,114,RESIDÊNCIA,100.0,AGO-2025,100
VL PRIMAVERA,3390000.0,2900.51,0.0,0.0,0.0,2025-07-10 00:00:00,1.Compra e venda,94,RESIDÊNCIA,100.0,AGO-2025,0
,2551070.0,450000.0,854878.0,854878.0,854878.0,2025-08-07 00:00:00,1.Compra e venda,170,RESIDÊNCIA,100.0,AGO-2025,100
,3281001.0,314664.17,5886845.0,14717.1125,314664.17,2025-08-05 00:00:00,1.Compra e venda,140,RESIDÊNCIA,0.25,AGO-2025,100
JARDIM SAO PAULO,2041030.0,426000.0,1253168.0,4135.4544,426000.0,2025-08-05 00:00:00,1.Compra e venda,250,RESIDÊNCIA,0.33,AGO-2025,200
,3055000.0,500000.0,191013.0,191013.0,500000.0,2025-03-13 00:00:00,1.Compra e venda,80,RESIDÊNCIA,100.0,AGO-2025,0
,3427000.0,850000.0,351831.0,351831.0,850000.0,2025-08-08 00:00:00,1.Compra e venda,108,RESIDÊNCIA,100.0,AGO-2025,100
SANTA TEREZA,3565000.0,480000.0,476316.0,476316.0,480000.0,2025-08-08 00:00:00,1.Compra e venda,60,RESIDÊNCIA,100.0,AGO-2025,0
,2202000.0,240000.0,80169.0,80169.0,240000.0,2025-08-08 00:00:00,1.Compra e venda,62,RESIDÊNCIA,100.0,AGO-2025,0
ALTO DA MOOCA,3344000.0,625000.0,210304.0,210304.0,625000.0,2025-08-12 00:00:00,1.Compra e venda,104,RESIDÊNCIA,100.0,AGO-2025,100
,8295360.0,300000.0,282735.0,282735.0,300000.0,2025-07-31 00:00:00,1.Compra e venda,89,RESIDÊNCIA,100.0,AGO-2025,0
JD CORDEIRO,4640054.0,5900000.0,4398330.0,4398330.0,5900000.0,2025-08-08 00:00:00,1.Compra e venda,609,RESIDÊNCIA,100.0,AGO-2025,600
PIRITUBA,5171500.0,490000.0,305148.0,305148.0,490000.0,2025-08-07 00:00:00,1.Compra e venda,76,RESIDÊNCIA,100.0,AGO-2025,0
,3643030.0,470000.0,434804.0,434804.0,470000.0,2025-08-11 00:00:00,1.Compra e venda,80,RESIDÊNCIA,100.0,AGO-2025,0
,5011001.0,1950000.0,12236482.0,2447.2964,1950000.0,2025-07-31 00:00:00,1.Compra e venda,530,RESIDÊNCIA,0.02,AGO-2025,500
,1443020.0,2500000.0,2359570.0,2359570.0,2500000.0,2025-08-08 00:00:00,1.Compra e venda,120,RESIDÊNCIA,100.0,AGO-2025,100
N SRA DO CARMO,8275120.0,455000.0,668914.0,290776.9158,455000.0,2025-08-08 00:00:00,1.Compra e venda,72,RESIDÊNCIA,43.47,AGO-2025,0
CITY AMERICA,5101320.0,200000.0,2326974.0,2326974.0,2326974.0,2025-08-11 00:00:00,1.Compra e venda,550,RESIDÊNCIA,100.0,AGO-2025,500
,3066010.0,731352.49,1852576.0,3519.8944,731352.49,2025-07-29 00:00:00,1.Compra e venda,360,RESIDÊNCIA,0.19,AGO-2025,300
,2076010.0,705000.0,405489.0,405489.0,705000.0,2025-08-12 00:00:00,1.Compra e venda,140,RESIDÊNCIA,100.0,AGO-2025,100
VILA CHULA,8270370.0,300000.0,215180.0,215180.0,300000.0,2025-08-13 00:00:00,1.Compra e venda,80,RESIDÊNCIA,100.0,AGO-2025,0
BROOKLIM,4566000.0,1050000.0,902196.0,902196.0,1050000.0,2025-08-07 00:00:00,1.Compra e venda,157,RESIDÊNCIA,100.0,AGO-2025,100
IPIRANGA,4280000.0,350000.0,951846.0,1332.5844,350000.0,2025-08-08 00:00:00,1.Compra e venda,193,RESIDÊNCIA,0.14,AGO-2025,100
,3281001.0,332320.52,5886845.0,14717.1125,332320.52,2025-08-01 00:00:00,1.Compra e venda,140,RESIDÊNCIA,0.25,AGO-2025,100
JD SAPOPEMBA,3976020.0,264000.0,757987.0,75.7987,264000.0,2025-05-14 00:00:00,1.Compra e venda,96,RESIDÊNCIA,0.01,AGO-2025,0
,8295010.0,360000.0,416358.0,416358.0,416358.0,2025-08-08 00:00:00,1.Compra e venda,75,RESIDÊNCIA,100.0,AGO-2025,0
JD STO AMARO,4741150.0,1450000.0,1633509.0,1633509.0,1633509.0,2025-08-07 00:00:00,1.Compra e venda,223,RESIDÊNCIA,100.0,AGO-2025,200
,2067006.0,400000.0,408352.0,408352.0,408352.0,2025-08-11 00:00:00,1.Compra e venda,124,RESIDÊNCIA,100.0,AGO-2025,100
,2205030.0,264000.0,311725.0,25561.45,264000.0,2025-08-07 00:00:00,1.Compra e venda,66,RESIDÊNCIA,8.2,AGO-2025,0
,3211070.0,650000.0,764225.0,764225.0,764225.0,2025-08-05 00:00:00,1.Compra e venda,220,RESIDÊNCIA,100.0,AGO-2025,200
JD NOVO PROGRESSO,8041730.0,395000.0,306156.0,306156.0,395000.0,2025-08-06 00:00:00,1.Compra e venda,115,RESIDÊNCIA,100.0,AGO-2025,100
,3281001.0,264000.0,5886845.0,11773.69,264000.0,2025-08-07 00:00:00,1.Compra e venda,140,RESIDÊNCIA,0.2,AGO-2025,100
,5674030.0,15000000.0,4525532.0,4525532.0,15000000.0,2025-07-14 00:00:00,1.Compra e venda,642,RESIDÊNCIA,100.0,AGO-2025,600
,4289070.0,580000.0,489659.0,489659.0,580000.0,2025-08-08 00:00:00,1.Compra e venda,104,RESIDÊNCIA,100.0,AGO-2025,100
,4362000.0,565000.0,425914.0,425914.0,565000.0,2025-07-31 00:00:00,1.Compra e venda,105,RESIDÊNCIA,100.0,AGO-2025,100
,5009060.0,990000.0,707907.0,707907.0,990000.0,2025-08-08 00:00:00,1.Compra e venda,110,RESIDÊNCIA,100.0,AGO-2025,100
S M PAULISTA,8062220.0,250000.0,387366.0,387366.0,387366.0,2025-08-08 00:00:00,1.Compra e venda,172,RESIDÊNCIA,100.0,AGO-2025,100
JD PENHA,3759030.0,250000.0,367287.0,367287.0,367287.0,2025-08-11 00:00:00,1.Compra e venda,93,RESIDÊNCIA,100.0,AGO-2025,0
VILA PEREIRA BARRETO,2936160.0,800000.0,478941.0,478941.0,800000.0,2025-08-05 00:00:00,1.Compra e venda,119,RESIDÊNCIA,100.0,AGO-2025,100
,3281001.0,237285.78,5886845.0,11185.0055,237285.78,2025-08-04 00:00:00,1.Compra e venda,140,RESIDÊNCIA,0.19,AGO-2025,100
JARDIM POPULAR,3673080.0,550000.0,447533.0,447533.0,550000.0,2025-08-08 00:00:00,1.Compra e venda,100,RESIDÊNCIA,100.0,AGO-2025,100
COND.RES. VILA PLENNA,3621010.0,325000.0,411060.0,411060.0,411060.0,2025-08-12 00:00:00,1.Compra e venda,124,RESIDÊNCIA,100.0,AGO-2025,100
,3875000.0,360000.0,1377399.0,1377399.0,1377399.0,2025-08-15 00:00:00,1.Compra e venda,320,RESIDÊNCIA,100.0,AGO-2025,300
BELENZINHO,3055000.0,860000.0,789135.0,789135.0,860000.0,2025-08-08 00:00:00,1.Compra e venda,153,RESIDÊNCIA,100.0,AGO-2025,100
,2849000.0,136000.0,134596.0,134596.0,136000.0,2025-08-08 00:00:00,1.Compra e venda,70,RESIDÊNCIA,100.0,AGO-2025,0
,4125200.0,334207.63,762197.0,1143.2955,334207.63,2025-08-05 00:00:00,1.Compra e venda,232,RESIDÊNCIA,0.15,AGO-2025,200
,3648020.0,163000.0,1527196.0,173642.1852,173642.19,2025-08-12 00:00:00,1.Compra e venda,404,RESIDÊNCIA,11.37,AGO-2025,400
CD RES FELIPE I,2419070.0,750000.0,443533.0,443533.0,750000.0,2025-08-08 00:00:00,1.Compra e venda,144,RESIDÊNCIA,100.0,AGO-2025,100
IGES,4835040.0,433000.0,418504.0,418504.0,433000.0,2025-08-11 00:00:00,1.Compra e venda,40,RESIDÊNCIA,100.0,AGO-2025,0
VILA MARIANA,4122002.0,705000.0,943787.0,707840.25,707840.25,2025-08-08 00:00:00,1.Compra e venda,101,RESIDÊNCIA,75.0,AGO-2025,100
,4167000.0,415000.0,281268.0,281268.0,415000.0,2025-08-08 00:00:00,1.Compra e venda,115,RESIDÊNCIA,100.0,AGO-2025,100
,4707020.0,265080.0,852005.0,85.2005,265080.0,2025-08-15 00:00:00,1.Compra e venda,225,RESIDÊNCIA,0.01,AGO-2025,200
SAUDE,4295020.0,550000.0,332898.0,332898.0,550000.0,2025-08-08 00:00:00,1.Compra e venda,111,RESIDÊNCIA,100.0,AGO-2025,100
,5846430.0,715000.0,490285.0,490285.0,715000.0,2025-08-08 00:00:00,1.Compra e venda,213,RESIDÊNCIA,100.0,AGO-2025,200
RES SOLAR HORTO DO YPE,5782370.0,625000.0,337121.0,337121.0,625000.0,2025-08-11 00:00:00,1.Compra e venda,90,RESIDÊNCIA,100.0,AGO-2025,0
VL INDEPEND NCIA,4240090.0,462000.0,595075.0,595075.0,595075.0,2025-08-08 00:00:00,1.Compra e venda,162,RESIDÊNCIA,100.0,AGO-2025,100
,3405010.0,269000.0,585248.0,252300.4128,269000.0,2025-08-08 00:00:00,1.Compra e venda,163,RESIDÊNCIA,43.11,AGO-2025,100
,3372010.0,430000.0,467841.0,467841.0,467841.0,2025-08-08 00:00:00,1.Compra e venda,158,RESIDÊNCIA,100.0,AGO-2025,100
JD S JOAO,2995140.0,550000.0,216912.0,216912.0,550000.0,2025-07-31 00:00:00,1.Compra e venda,125,RESIDÊNCIA,100.0,AGO-2025,100
,3433025.0,151000.0,1217699.0,18265.485,151000.0,2025-08-15 00:00:00,1.Compra e venda,198,RESIDÊNCIA,1.5,AGO-2025,100
VILA CARRAO,3430003.0,620000.0,680363.0,680363.0,680363.0,2025-08-08 00:00:00,1.Compra e venda,135,RESIDÊNCIA,100.0,AGO-2025,100
PQ EDU CHAVES,2231020.0,300000.0,234589.0,234589.0,300000.0,2025-08-08 00:00:00,1.Compra e venda,124,RESIDÊNCIA,100.0,AGO-2025,100
JD SENICE,8150540.0,490000.0,443083.0,443083.0,490000.0,2025-08-11 00:00:00,1.Compra e venda,195,RESIDÊNCIA,100.0,AGO-2025,100
S MIGUEL PAULISTA,8030540.0,380000.0,179532.0,179532.0,380000.0,2025-08-07 00:00:00,1.Compra e venda,74,RESIDÊNCIA,100.0,AGO-2025,0
,3010000.0,900000.0,181876.0,181876.0,900000.0,2025-08-08 00:00:00,1.Compra e venda,64,RESIDÊNCIA,100.0,AGO-2025,0
FREGUESIA DO O,2737040.0,220000.0,684718.0,342359.0,342359.0,2025-08-07 00:00:00,1.Compra e venda,230,RESIDÊNCIA,50.0,AGO-2025,200
,1127020.0,600000.0,223232.0,223232.0,600000.0,2025-08-08 00:00:00,1.Compra e venda,41,RESIDÊNCIA,100.0,AGO-2025,0
GUAIANAZES,8411090.0,350000.0,1129059.0,9371.1897,350000.0,2025-08-04 00:00:00,1.Compra e venda,80,RESIDÊNCIA,0.83,AGO-2025,0
STO. AMARO,4648240.0,1245000.0,707078.0,707078.0,1245000.0,2025-08-08 00:00:00,1.Compra e venda,187,RESIDÊNCIA,100.0,AGO-2025,100
MANDAQUI,2415050.0,630000.0,717668.0,717668.0,717668.0,2025-08-08 00:00:00,1.Compra e venda,196,RESIDÊNCIA,100.0,AGO-2025,100
,8220030.0,31030.85,482833.0,48.2833,31030.85,2025-07-29 00:00:00,1.Compra e venda,78,RESIDÊNCIA,0.01,AGO-2025,0
JD POPULAR,3670060.0,614000.0,547938.0,547938.0,614000.0,2025-08-08 00:00:00,1.Compra e venda,151,RESIDÊNCIA,100.0,AGO-2025,100
PIRITUBA,5175080.0,1500000.0,637294.0,637294.0,1500000.0,2025-08-11 00:00:00,1.Compra e venda,127,RESIDÊNCIA,100.0,AGO-2025,100
,2139000.0,535000.0,236006.0,236006.0,535000.0,2025-08-08 00:00:00,1.Compra e venda,65,RESIDÊNCIA,100.0,AGO-2025,0
,8220030.0,32685.33,482833.0,48.2833,32685.33,2025-07-29 00:00:00,1.Compra e venda,78,RESIDÊNCIA,0.01,AGO-2025,0
,2043080.0,800000.0,756745.0,756745.0,800000.0,2025-08-08 00:00:00,1.Compra e venda,189,RESIDÊNCIA,100.0,AGO-2025,100
PARQUE DAS PAINEIRAS,3694010.0,18208.83,549736.0,54.9736,18208.83,2025-06-10 00:00:00,1.Compra e venda,133,RESIDÊNCIA,0.01,AGO-2025,100
LAUZANE PAULISTA,2442210.0,285000.0,336551.0,336551.0,336551.0,2025-08-08 00:00:00,1.Compra e venda,119,RESIDÊNCIA,100.0,AGO-2025,100
,3281001.0,245999.49,5886845.0,11773.69,245999.49,2025-08-06 00:00:00,1.Compra e venda,140,RESIDÊNCIA,0.2,AGO-2025,100
AGUA FRIA,2334091.0,670000.0,623041.0,623041.0,670000.0,2025-08-08 00:00:00,1.Compra e venda,181,RESIDÊNCIA,100.0,AGO-2025,100
TUCURUVI,2309080.0,289000.0,704725.0,1479.9225,289000.0,2025-08-04 00:00:00,1.Compra e venda,230,RESIDÊNCIA,0.21,AGO-2025,200
TUCURUVI,2309080.0,343000.0,704725.0,1832.285,343000.0,2025-08-05 00:00:00,1.Compra e venda,230,RESIDÊNCIA,0.26,AGO-2025,200
,2223010.0,330000.0,387021.0,387021.0,387021.0,2025-08-12 00:00:00,1.Compra e venda,148,RESIDÊNCIA,100.0,AGO-2025,100
RA CRUZ,5864200.0,475000.0,475084.0,475084.0,475084.0,2025-08-08 00:00:00,1.Compra e venda,154,RESIDÊNCIA,100.0,AGO-2025,100
SANTO AMARO,4739060.0,1850000.0,1990602.0,1990602.0,1990602.0,2025-08-11 00:00:00,1.Compra e venda,303,RESIDÊNCIA,100.0,AGO-2025,300
PIRITUBA,5175040.0,700000.0,512726.0,512726.0,700000.0,2025-08-14 00:00:00,1.Compra e venda,117,RESIDÊNCIA,100.0,AGO-2025,100
ITAIM PAULISTA,8110600.0,300000.0,200539.0,200539.0,300000.0,2025-08-08 00:00:00,1.Compra e venda,84,RESIDÊNCIA,100.0,AGO-2025,0
PARQUE NOVOMUNDO,2180090.0,210000.0,193002.0,193002.0,210000.0,2025-08-11 00:00:00,1.Compra e venda,87,RESIDÊNCIA,100.0,AGO-2025,0
JD FONTALIS,2360280.0,100000.0,107376.0,107376.0,107376.0,2025-08-08 00:00:00,1.Compra e venda,40,RESIDÊNCIA,100.0,AGO-2025,0
SAPOPEMBA,3977190.0,55000.0,211378.0,211378.0,211378.0,2025-08-08 00:00:00,1.Compra e venda,120,RESIDÊNCIA,100.0,AGO-2025,100
SAO MATHEUS,3960040.0,350000.0,456160.0,456160.0,456160.0,2025-08-05 00:00:00,1.Compra e venda,148,RESIDÊNCIA,100.0,AGO-2025,100
PRQ FONGARO,4256100.0,470000.0,344505.0,344505.0,470000.0,2025-08-08 00:00:00,1.Compra e venda,128,RESIDÊNCIA,100.0,AGO-2025,100
,4679390.0,535000.0,542787.0,542787.0,542787.0,2025-08-08 00:00:00,1.Compra e venda,114,RESIDÊNCIA,100.0,AGO-2025,100
TATUAPE,3411140.0,500000.0,563683.0,563683.0,563683.0,2025-08-11 00:00:00,1.Compra e venda,115,RESIDÊNCIA,100.0,AGO-2025,100
RICE,5866030.0,350000.0,337659.0,337659.0,350000.0,2025-08-11 00:00:00,1.Compra e venda,237,RESIDÊNCIA,100.0,AGO-2025,200
,2411010.0,198450.85,190289.0,190289.0,198450.85,2025-08-12 00:00:00,1.Compra e venda,59,RESIDÊNCIA,100.0,AGO-2025,0
,8210010.0,335000.0,232438.0,232438.0,335000.0,2025-08-06 00:00:00,1.Compra e venda,66,RESIDÊNCIA,100.0,AGO-2025,0
JD ESTHER,8330250.0,270000.0,123408.0,123408.0,270000.0,2025-08-06 00:00:00,1.Compra e venda,60,RESIDÊNCIA,100.0,AGO-2025,0
,4251100.0,446500.0,427875.0,427875.0,446500.0,2025-08-08 00:00:00,1.Compra e venda,130,RESIDÊNCIA,100.0,AGO-2025,100
TUCURUVI,2302120.0,267900.0,1107630.0,101126.619,267900.0,2025-08-08 00:00:00,1.Compra e venda,167,RESIDÊNCIA,9.13,AGO-2025,100
VL SAO SILVESTRE,8011400.0,665000.0,1154319.0,392353.0281,665000.0,2025-08-07 00:00:00,1.Compra e venda,421,RESIDÊNCIA,33.99,AGO-2025,400
,2043070.0,7600.0,487450.0,536.195,7600.0,2025-08-09 00:00:00,1.Compra e venda,93,RESIDÊNCIA,0.11,AGO-2025,0
,2043070.0,7600.0,494648.0,544.1128,7600.0,2025-08-09 00:00:00,1.Compra e venda,93,RESIDÊNCIA,0.11,AGO-2025,0
JD. STA. INES,2423020.0,785000.0,474038.0,474038.0,785000.0,2025-08-11 00:00:00,1.Compra e venda,139,RESIDÊNCIA,100.0,AGO-2025,100
VILA ESPANHOLA,2566070.0,590000.0,427883.0,427883.0,590000.0,2025-08-08 00:00:00,1.Compra e venda,97,RESIDÊNCIA,100.0,AGO-2025,0
JACANA,2316001.0,336000.0,657766.0,2039.0746,336000.0,2025-08-08 00:00:00,1.Compra e venda,175,RESIDÊNCIA,0.31,AGO-2025,100
,4557040.0,65000.0,1156729.0,289182.25,289182.25,2025-08-11 00:00:00,1.Compra e venda,119,RESIDÊNCIA,25.0,AGO-2025,100
VILA CARMOSINA,8290100.0,178487.0,128715.0,128715.0,178487.0,2025-08-15 00:00:00,1.Compra e venda,68,RESIDÊNCIA,100.0,AGO-2025,0
,3420000.0,50000.0,420409.0,70040.1394,70040.14,2025-08-15 00:00:00,1.Compra e venda,121,RESIDÊNCIA,16.66,AGO-2025,100
,3420000.0,50000.0,488888.0,81448.7408,81448.74,2025-08-15 00:00:00,1.Compra e venda,118,RESIDÊNCIA,16.66,AGO-2025,100
,3281001.0,264000.0,5886845.0,11185.0055,264000.0,2025-08-04 00:00:00,1.Compra e venda,140,RESIDÊNCIA,0.19,AGO-2025,100
,5705240.0,785000.0,638210.0,638210.0,785000.0,2025-07-31 00:00:00,1.Compra e venda,176,RESIDÊNCIA,100.0,AGO-2025,100
