neighborhood,postal_code,declared_transaction_value,reference_property_value,reference_value_proportional,tax_base_value,transaction_date,transaction_type,built_area_sqm,property_use_description,transferred_share_percentage,source,bucket_start
,8295360.0,276000.0,1833147.0,183.3147,276000.0,2024-12-27 00:00:00,1.Compra e venda,222,RESIDÊNCIA,0.01,JAN-2025,200
,4216040.0,960000.0,680990.0,680990.0,960000.0,2024-12-30 00:00:00,1.Compra e venda,190,RESIDÊNCIA,100.0,JAN-2025,100
VILA POMPEIA,5023000.0,285191.73,2937081.0,7342.7025,285191.73,2024-12-30 00:00:00,1.Compra e venda,320,RESIDÊNCIA,0.25,JAN-2025,300
RES PAULO FRONTIM,8220390.0,368220.0,401420.0,401420.0,401420.0,2025-01-02 00:00:00,1.Compra e venda,153,RESIDÊNCIA,100.0,JAN-2025,100
VILA POMPEIA,5023000.0,298918.78,2937081.0,7636.4106,298918.78,2024-12-30 00:00:00,1.Compra e venda,320,RESIDÊNCIA,0.26,JAN-2025,300
VL STA TERESA,3566010.0,241000.0,565775.0,56.5775,241000.0,2024-12-27 00:00:00,1.Compra e venda,160,RESIDÊNCIA,0.01,JAN-2025,100
,2275090.0,535000.0,354053.0,354053.0,535000.0,2024-12-23 00:00:00,1.Compra e venda,117,RESIDÊNCIA,100.0,JAN-2025,100
VILA MONUMENTO,1551030.0,770000.0,832277.0,832277.0,832277.0,2025-01-02 00:00:00,1.Compra e venda,280,RESIDÊNCIA,100.0,JAN-2025,200
,5590030.0,248000.0,1819063.0,181.9063,248000.0,2024-12-27 00:00:00,1.Compra e venda,488,RESIDÊNCIA,0.01,JAN-2025,400
JD STA MONICA,5171300.0,315000.0,301623.0,301623.0,315000.0,2025-01-03 00:00:00,1.Compra e venda,123,RESIDÊNCIA,100.0,JAN-2025,100
SIT FLAMENGO,5202200.0,190000.0,245355.0,245355.0,245355.0,2025-01-03 00:00:00,1.Compra e venda,67,RESIDÊNCIA,100.0,JAN-2025,0
TATUAPE,3404050.0,325000.0,293980.0,293980.0,325000.0,2025-01-03 00:00:00,1.Compra e venda,120,RESIDÊNCIA,100.0,JAN-2025,100
,2267010.0,390000.0,550740.0,275.37,390000.0,2024-12-27 00:00:00,1.Compra e venda,193,RESIDÊNCIA,0.05,JAN-2025,100
VILA PRUDENTE,3244150.0,295000.0,129813.0,129813.0,295000.0,2024-12-30 00:00:00,1.Compra e venda,60,RESIDÊNCIA,100.0,JAN-2025,0
VL  CARMOSINA,8270270.0,330000.0,279858.0,279858.0,330000.0,2025-01-07 00:00:00,1.Compra e venda,60,RESIDÊNCIA,100.0,JAN-2025,0
VILA PALMEIRA,2933000.0,456500.0,456481.0,456481.0,456500.0,2025-01-07 00:00:00,1.Compra e venda,99,RESIDÊNCIA,100.0,JAN-2025,0
R MAGUARI 330,4642000.0,17600000.0,16333605.0,16333605.0,17600000.0,2024-12-24 00:00:00,1.Compra e venda,1118,RESIDÊNCIA,100.0,JAN-2025,1100
BUTANTA,5542140.0,750000.0,412523.0,412523.0,750000.0,2024-12-27 00:00:00,1.Compra e venda,123,RESIDÊNCIA,100.0,JAN-2025,100
,3679010.0,35000.0,220855.0,55213.75,55213.75,2025-01-09 00:00:00,1.Compra e venda,75,RESIDÊNCIA,25.0,JAN-2025,0
,3547020.0,600000.0,559460.0,559460.0,600000.0,2025-01-03 00:00:00,1.Compra e venda,128,RESIDÊNCIA,100.0,JAN-2025,100
,3165070.0,960000.0,853789.0,853789.0,960000.0,2024-12-27 00:00:00,1.Compra e venda,139,RESIDÊNCIA,100.0,JAN-2025,100
TREMEMBE,2340002.0,700000.0,587716.0,587716.0,700000.0,2024-12-20 00:00:00,1.Compra e venda,144,RESIDÊNCIA,100.0,JAN-2025,100
,4164010.0,480000.0,446327.0,446327.0,480000.0,2025-01-02 00:00:00,1.Compra e venda,78,RESIDÊNCIA,100.0,JAN-2025,0
,3585100.0,400000.0,360285.0,360285.0,400000.0,2024-12-20 00:00:00,1.Compra e venda,95,RESIDÊNCIA,100.0,JAN-2025,0
,3973050.0,360000.0,255425.0,255425.0,360000.0,2025-01-03 00:00:00,1.Compra e venda,76,RESIDÊNCIA,100.0,JAN-2025,0
PENHA,3644000.0,650000.0,636951.0,636951.0,650000.0,2024-12-27 00:00:00,1.Compra e venda,243,RESIDÊNCIA,100.0,JAN-2025,200
,3287090.0,430000.0,257926.0,257926.0,430000.0,2024-12-30 00:00:00,1.Compra e venda,133,RESIDÊNCIA,100.0,JAN-2025,100
CIDADE ANTONIO,8223260.0,350000.0,267144.0,267144.0,350000.0,2024-12-30 00:00:00,1.Compra e venda,101,RESIDÊNCIA,100.0,JAN-2025,100
,2756110.0,530000.0,326545.0,326545.0,530000.0,2024-12-23 00:00:00,1.Compra e venda,86,RESIDÊNCIA,100.0,JAN-2025,0
JARDIM JAU,3710110.0,100000.0,239459.0,119729.5,119729.5,2024-12-20 00:00:00,1.Compra e venda,53,RESIDÊNCIA,50.0,JAN-2025,0
,3472110.0,400000.0,219532.0,219532.0,400000.0,2024-12-27 00:00:00,1.Compra e venda,96,RESIDÊNCIA,100.0,JAN-2025,0
,2307050.0,815000.0,751980.0,751980.0,815000.0,2024-12-30 00:00:00,1.Compra e venda,135,RESIDÊNCIA,100.0,JAN-2025,100
,5332000.0,415000.0,665243.0,665243.0,665243.0,2024-12-23 00:00:00,1.Compra e venda,50,RESIDÊNCIA,100.0,JAN-2025,0
JD VAZ DE LIMA,5833400.0,275000.0,189700.0,189700.0,275000.0,2025-01-02 00:00:00,1.Compra e venda,100,RESIDÊNCIA,100.0,JAN-2025,100
,4067040.0,950000.0,997220.0,997220.0,997220.0,2025-01-06 00:00:00,1.Compra e venda,140,RESIDÊNCIA,100.0,JAN-2025,100
JD TREMEMBE,2353010.0,350000.0,129716.0,129716.0,350000.0,2024-12-30 00:00:00,1.Compra e venda,80,RESIDÊNCIA,100.0,JAN-2025,0
,3512020.0,225000.0,689057.0,68.9057,225000.0,2024-12-06 00:00:00,1.Compra e venda,159,RESIDÊNCIA,0.01,JAN-2025,100
,5305040.0,550000.0,581766.0,581766.0,581766.0,2025-01-06 00:00:00,1.Compra e venda,82,RESIDÊNCIA,100.0,JAN-2025,0
,5603001.0,4576316.67,2340409.0,2340409.0,4576316.67,2024-12-27 00:00:00,1.Compra e venda,424,RESIDÊNCIA,100.0,JAN-2025,400
TUCURUVI,2269040.0,720000.0,394065.0,394065.0,720000.0,2024-12-18 00:00:00,1.Compra e venda,113,RESIDÊNCIA,100.0,JAN-2025,100
JD PERY,2652010.0,400000.0,349216.0,349216.0,400000.0,2024-12-30 00:00:00,1.Compra e venda,118,RESIDÊNCIA,100.0,JAN-2025,100
JD ESPERANCA,2841140.0,0.01,478939.0,478939.0,478939.0,2025-01-03 00:00:00,1.Compra e venda,210,RESIDÊNCIA,100.0,JAN-2025,200
JD ARICANDUVA,3455090.0,400000.0,331240.0,331240.0,400000.0,2024-11-13 00:00:00,1.Compra e venda,94,RESIDÊNCIA,100.0,JAN-2025,0
VILA FIAT LUX,5101010.0,765000.0,437748.0,437748.0,765000.0,2025-01-02 00:00:00,1.Compra e venda,104,RESIDÊNCIA,100.0,JAN-2025,100
CID CONTINENTAL,3243080.0,315000.0,442080.0,30326.688,315000.0,2024-12-27 00:00:00,1.Compra e venda,80,RESIDÊNCIA,6.86,JAN-2025,0
,8420240.0,32500.0,100582.0,50291.0,50291.0,2025-01-07 00:00:00,1.Compra e venda,50,RESIDÊNCIA,50.0,JAN-2025,0
,2471040.0,620000.0,545823.0,545823.0,620000.0,2024-12-30 00:00:00,1.Compra e venda,195,RESIDÊNCIA,100.0,JAN-2025,100
JD JACARANDAS,5448000.0,1744000.0,2838099.0,2838099.0,2838099.0,2024-12-26 00:00:00,1.Compra e venda,200,RESIDÊNCIA,100.0,JAN-2025,200
,5592030.0,630000.0,505733.0,505733.0,630000.0,2025-01-01 00:00:00,1.Compra e venda,150,RESIDÊNCIA,100.0,JAN-2025,100
JARDIM SAO PAULO,2045070.0,243000.0,943854.0,13591.4976,243000.0,2024-12-04 00:00:00,1.Compra e venda,132,RESIDÊNCIA,1.44,JAN-2025,100
,8030640.0,320000.0,169502.0,169502.0,320000.0,2024-12-27 00:00:00,1.Compra e venda,100,RESIDÊNCIA,100.0,JAN-2025,100
D11 JD HELENA,8090710.0,60000.0,274414.0,274414.0,274414.0,2025-01-06 00:00:00,1.Compra e venda,120,RESIDÊNCIA,100.0,JAN-2025,100
,5171660.0,680000.0,579395.0,579395.0,680000.0,2025-01-03 00:00:00,1.Compra e venda,208,RESIDÊNCIA,100.0,JAN-2025,200
VILA POMPEIA,5023000.0,306143.72,2937081.0,7636.4106,306143.72,2024-12-30 00:00:00,1.Compra e venda,320,RESIDÊNCIA,0.26,JAN-2025,300
MOINHO VELHO,2960030.0,400000.0,347520.0,347520.0,400000.0,2025-01-03 00:00:00,1.Compra e venda,64,RESIDÊNCIA,100.0,JAN-2025,0
JARDIM DAS ACACIAS,4707040.0,239382.0,1818120.0,181.812,239382.0,2025-01-10 00:00:00,1.Compra e venda,250,RESIDÊNCIA,0.01,JAN-2025,200
DOMITILA,5128180.0,700000.0,440626.0,440626.0,700000.0,2025-01-02 00:00:00,1.Compra e venda,104,RESIDÊNCIA,100.0,JAN-2025,100
CITY AMERICA,5119000.0,1900000.0,1748167.0,1748167.0,1900000.0,2025-01-03 00:00:00,1.Compra e venda,307,RESIDÊNCIA,100.0,JAN-2025,300
SAO JOAO CLIMACO,4243000.0,300000.0,201035.0,201035.0,300000.0,2025-01-02 00:00:00,1.Compra e venda,75,RESIDÊNCIA,100.0,JAN-2025,0
